2024-02-03 08:34:03.649 INFO  org.testng.internal.Utils - [TestNG] Running:
2024-02-03 08:37:21.990 INFO  BaseTest - RUN tests.NavigationTest.testLandingURL
2024-02-03 08:37:22.000 INFO  BaseTest - Context created.
2024-02-03 08:37:22.005 INFO  BaseTest - Tracing started
2024-02-03 08:37:22.170 INFO  BaseTest - Page created.
2024-02-03 08:37:23.255 INFO  BaseTest - Page context: Base URL opened.
2024-02-03 08:37:23.306 INFO  BaseTest - ?

tests.NavigationTest.testLandingURL   ----   PASS	 Run Time: 0 min 0 sec 46 ms

2024-02-03 08:37:23.316 INFO  BaseTest - Page closed.
2024-02-03 08:37:23.430 INFO  BaseTest - Tracing stopped
2024-02-03 08:37:23.439 INFO  BaseTest - Context closed.
2024-02-03 08:37:23.451 INFO  BaseTest - RUN tests.NavigationTest.testLogOutNavigate
2024-02-03 08:37:23.460 INFO  BaseTest - Context created.
2024-02-03 08:37:23.466 INFO  BaseTest - Tracing started
2024-02-03 08:37:23.674 INFO  BaseTest - Page created.
2024-02-03 08:37:24.705 INFO  BaseTest - Page context: Base URL opened.
2024-02-03 08:37:25.713 INFO  BaseTest - Page context: Base URL opened.
2024-02-03 08:37:25.734 INFO  BaseTest - ?

tests.NavigationTest.testLogOutNavigate   ----   PASS	 Run Time: 0 min 1 sec 26 ms

2024-02-03 08:37:25.744 INFO  BaseTest - Page closed.
2024-02-03 08:37:25.821 INFO  BaseTest - Tracing stopped
2024-02-03 08:37:25.825 INFO  BaseTest - Context closed.
2024-02-03 08:37:25.828 INFO  BaseTest - RUN tests.NavigationTest.testNavigation
2024-02-03 08:37:25.834 INFO  BaseTest - Context created.
2024-02-03 08:37:25.836 INFO  BaseTest - Tracing started
2024-02-03 08:37:26.004 INFO  BaseTest - Page created.
2024-02-03 08:37:27.025 INFO  BaseTest - Page context: Base URL opened.
2024-02-03 08:37:27.453 INFO  BaseTest - ?

tests.NavigationTest.testNavigation(1)   ----   PASS	 Run Time: 0 min 0 sec 423 ms

2024-02-03 08:37:27.460 INFO  BaseTest - Page closed.
2024-02-03 08:37:27.503 INFO  BaseTest - Tracing stopped
2024-02-03 08:37:27.533 INFO  BaseTest - Context closed.
2024-02-03 08:37:27.537 INFO  BaseTest - RUN tests.NavigationTest.testNavigation
2024-02-03 08:37:27.548 INFO  BaseTest - Context created.
2024-02-03 08:37:27.550 INFO  BaseTest - Tracing started
2024-02-03 08:37:27.730 INFO  BaseTest - Page created.
2024-02-03 08:37:28.742 INFO  BaseTest - Page context: Base URL opened.
2024-02-03 08:37:29.298 INFO  BaseTest - ?

tests.NavigationTest.testNavigation(2)   ----   PASS	 Run Time: 0 min 0 sec 553 ms

2024-02-03 08:37:29.310 INFO  BaseTest - Page closed.
2024-02-03 08:37:29.377 INFO  BaseTest - Tracing stopped
2024-02-03 08:37:29.385 INFO  BaseTest - Context closed.
2024-02-03 08:37:29.388 INFO  BaseTest - RUN tests.NavigationTest.testNavigation
2024-02-03 08:37:29.396 INFO  BaseTest - Context created.
2024-02-03 08:37:29.398 INFO  BaseTest - Tracing started
2024-02-03 08:37:29.551 INFO  BaseTest - Page created.
2024-02-03 08:37:30.540 INFO  BaseTest - Page context: Base URL opened.
2024-02-03 08:37:30.904 INFO  BaseTest - ?

tests.NavigationTest.testNavigation(3)   ----   PASS	 Run Time: 0 min 0 sec 360 ms

2024-02-03 08:37:30.911 INFO  BaseTest - Page closed.
2024-02-03 08:37:30.993 INFO  BaseTest - Tracing stopped
2024-02-03 08:37:30.998 INFO  BaseTest - Context closed.
2024-02-03 08:37:31.001 INFO  BaseTest - RUN tests.NavigationTest.testNavigation
2024-02-03 08:37:31.013 INFO  BaseTest - Context created.
2024-02-03 08:37:31.015 INFO  BaseTest - Tracing started
2024-02-03 08:37:31.200 INFO  BaseTest - Page created.
2024-02-03 08:37:32.179 INFO  BaseTest - Page context: Base URL opened.
2024-02-03 08:37:32.994 INFO  BaseTest - ?

tests.NavigationTest.testNavigation(4)   ----   PASS	 Run Time: 0 min 0 sec 811 ms

2024-02-03 08:37:32.999 INFO  BaseTest - Page closed.
2024-02-03 08:37:33.045 INFO  BaseTest - Tracing stopped
2024-02-03 08:37:33.050 INFO  BaseTest - Context closed.
2024-02-03 08:37:33.052 INFO  BaseTest - RUN tests.NavigationTest.testNavigation
2024-02-03 08:37:33.058 INFO  BaseTest - Context created.
2024-02-03 08:37:33.061 INFO  BaseTest - Tracing started
2024-02-03 08:37:33.199 INFO  BaseTest - Page created.
2024-02-03 08:37:34.233 INFO  BaseTest - Page context: Base URL opened.
2024-02-03 08:37:34.640 INFO  BaseTest - ?

tests.NavigationTest.testNavigation(5)   ----   PASS	 Run Time: 0 min 0 sec 402 ms

2024-02-03 08:37:34.648 INFO  BaseTest - Page closed.
2024-02-03 08:37:34.768 INFO  BaseTest - Tracing stopped
2024-02-03 08:37:34.773 INFO  BaseTest - Context closed.
2024-02-03 08:37:34.776 INFO  BaseTest - RUN tests.NavigationTest.testNavigation
2024-02-03 08:37:34.784 INFO  BaseTest - Context created.
2024-02-03 08:37:34.787 INFO  BaseTest - Tracing started
2024-02-03 08:37:34.912 INFO  BaseTest - Page created.
2024-02-03 08:37:35.962 INFO  BaseTest - Page context: Base URL opened.
2024-02-03 08:37:36.342 INFO  BaseTest - ?

tests.NavigationTest.testNavigation(6)   ----   PASS	 Run Time: 0 min 0 sec 376 ms

2024-02-03 08:37:36.354 INFO  BaseTest - Page closed.
2024-02-03 08:37:36.424 INFO  BaseTest - Tracing stopped
2024-02-03 08:37:36.455 INFO  BaseTest - Context closed.
2024-02-03 08:37:36.709 INFO  BaseTest - Browser closed.
2024-02-03 08:37:36.721 INFO  BaseTest - Playwright closed.
2024-02-03 08:37:36.941 INFO  BaseTest - Browser closed.
2024-02-03 08:37:36.952 INFO  BaseTest - Playwright closed.
2024-02-03 18:40:09.224 INFO  BaseTest - Playwright created.
2024-02-03 18:40:09.239 INFO  BaseTest - Browser CHROMIUM BrowserImpl@3c1e3314 launched.

2024-02-03 18:40:09.241 INFO  BaseTest - Playwright created.
2024-02-03 18:40:09.241 INFO  BaseTest - Browser CHROMIUM BrowserImpl@13c612bd launched.

2024-02-03 18:40:09.289 INFO  BaseTest - RUN tests.HomeTest.testLogOut
2024-02-03 18:40:09.318 INFO  BaseTest - Context created.
2024-02-03 18:40:09.331 INFO  BaseTest - Tracing started
2024-02-03 18:40:09.616 INFO  BaseTest - Page created.
2024-02-03 18:40:10.221 INFO  BaseTest - Open Home page
2024-02-03 18:40:10.223 INFO  BaseTest - Testing....
2024-02-03 18:40:10.910 INFO  BaseTest - Page context: Base URL opened.
2024-02-03 18:40:11.524 INFO  BaseTest - ?

tests.HomeTest.testLogOut   ----   PASS	 Run Time: 0 min 0 sec 519 ms

2024-02-03 18:40:11.546 INFO  BaseTest - Page closed.
2024-02-03 18:40:11.603 INFO  BaseTest - Tracing stopped
2024-02-03 18:40:11.611 INFO  BaseTest - Context closed.
2024-02-03 18:40:11.619 INFO  BaseTest - RUN tests.Login.LoginTest.testLogin
2024-02-03 18:40:11.628 INFO  BaseTest - Context created.
2024-02-03 18:40:11.633 INFO  BaseTest - Tracing started
2024-02-03 18:40:11.828 INFO  BaseTest - Page created.
2024-02-03 18:40:12.450 INFO  BaseTest - Open Home page
2024-02-03 18:40:12.450 INFO  BaseTest - Testing....
